gen,igd_mean,igd_std
0,0.7439446943800689,0.27683408052885056
1,0.6938314354039423,0.2847232162419599
2,0.6683879403225834,0.2790044118399155
3,0.653526008947274,0.27845285799635755
4,0.6399117910583942,0.2816415160848748
5,0.6225638238808081,0.27569204888608945
6,0.6124894894948046,0.27455947208221626
7,0.6058023928285612,0.27377279114924147
8,0.5966236028119365,0.2765235594723548
9,0.5912941751581667,0.2781266117389401
10,0.5849793310049477,0.27818270080418545
11,0.578860414369917,0.2788282493381797
12,0.5740623017608364,0.2800763468081146
13,0.568833626392371,0.2799423757556138
14,0.5641665277734033,0.2808555253979834
15,0.5609072425082028,0.2810656706982825
16,0.5564414050617319,0.2823684255807116
17,0.5534904059445922,0.2833236002907556
18,0.5510127045706344,0.28332207535598647
19,0.5476100565845972,0.2840471626345826
20,0.5454040883864556,0.28532903166708273
21,0.5429473625915715,0.2854770739933039
22,0.5395886515685631,0.28667701092141795
23,0.5371393963953485,0.28771286690262765
24,0.534075135688947,0.2882557527570167
25,0.5317804363004824,0.2885393726433088
26,0.5294733945383187,0.2886069539126299
27,0.5274173755470729,0.28972630002061117
28,0.5250717583152956,0.29019693389959206
29,0.5233853508315464,0.29012420319531745
30,0.5219961469968379,0.2906943440300134
31,0.5206056415294379,0.29025260565443367
32,0.5185623424376923,0.2892051937101879
33,0.5176326974789003,0.2894016673146707
34,0.5160520249693966,0.28931095387169137
35,0.5151595882149981,0.2896600982864772
36,0.5139959475623709,0.2898944486178921
37,0.5132432646295041,0.2903091599013122
38,0.5125299199446259,0.2904485696778767
39,0.5113684537540072,0.29012790456017346
40,0.5104488434087042,0.29029544135948554
41,0.5096496457793374,0.2904770321682047
42,0.5087127702865514,0.29076201283184433
43,0.5072225533196142,0.29074818496333377
44,0.506046897126632,0.29094471212902095
45,0.5051153824792635,0.29128437558028347
46,0.5042012145989045,0.2916599330446342
47,0.5033100789200496,0.29161034043926054
48,0.5026678860235299,0.29160465420447823
49,0.5016813935128858,0.29234238308144056
50,0.5008749041271925,0.29249768767343237
51,0.500527531367718,0.2927463855518581
52,0.5000499458202653,0.2926803010711292
53,0.49919782536824,0.2927492375916731
54,0.49845459960056676,0.2925062981622205
55,0.497885534454768,0.2923812211844329
56,0.4973023877875363,0.29261306480555177
57,0.49607006445353463,0.29319074870284695
58,0.4958139496483491,0.2932418914883295
59,0.4951965756706481,0.29339816874754576
60,0.49488796860353634,0.2934128072844104
61,0.49412267342345423,0.29382995269503187
62,0.49401869166907825,0.29399914009041184
63,0.4936359455088292,0.29410193598453377
64,0.4926391788220708,0.2937281140728825
65,0.49217067696209943,0.29376673848534773
66,0.49195369162745856,0.2938386260587174
67,0.4916114021900243,0.2938482535597823
68,0.4911445223955037,0.2938334876838022
69,0.4904743408337432,0.29379339335571586
70,0.48978074213501704,0.2939303591295691
71,0.48887770835736244,0.2941837985454164
72,0.488640119186526,0.2943088370626814
73,0.48836383535752836,0.29424063976863446
74,0.4881597678830163,0.29436332945754157
75,0.48786026442653163,0.2940898223283084
76,0.4873413661466653,0.2941771321974983
77,0.48692306528458096,0.2941775805322519
78,0.4863951096355554,0.2943282678863192
79,0.485855809274873,0.29411673552737144
80,0.48579155509989047,0.2942813856576318
81,0.4852728821354539,0.29425676656749356
82,0.48430907050289584,0.29358993182801996
83,0.4839703005709993,0.2937947097730234
84,0.48342377650324514,0.29393149109303507
85,0.4832061940173916,0.2940749296369903
86,0.4829663657151367,0.29417216403671503
87,0.48256864735160954,0.2941938624762652
88,0.482315254864767,0.29408079168103096
89,0.48142889370714054,0.29334613466961723
90,0.48115901888103796,0.2934568285848029
91,0.4809633503057936,0.29340506246801035
92,0.48091623492598573,0.2933853749958236
93,0.480601016761112,0.2935129157559457
94,0.4801576524675066,0.29324418716585976
95,0.47993298958965647,0.2932831323162875
96,0.4797477321308063,0.29335847246215246
97,0.47948596495319734,0.2932785603922914
98,0.4790997058249194,0.29319673527353723
99,0.4787969793983981,0.2931871938911471
100,0.47867177541132366,0.29315086682549774
101,0.4783622508429669,0.2932551245947178
102,0.47797395074449284,0.2932758019702279
103,0.47780744612873266,0.2932627807965095
104,0.47754211871767366,0.293208715556833
105,0.4774643549752092,0.29323357729922683
106,0.4772817082272797,0.29330970470494183
107,0.4770715397336234,0.29323302374992366
108,0.4770263273903905,0.2933124921061983
109,0.4767707607747538,0.29335876081012047
110,0.47671773048647276,0.29330952675216954
111,0.47658057400270043,0.29322201403533865
112,0.4764073704527583,0.2931955958615797
113,0.47619666352637413,0.29321964176823073
114,0.47600963982070704,0.2932915229814558
115,0.47588752785237387,0.2930827491105578
116,0.47572165172331304,0.2931749385962916
117,0.47576223616790103,0.2932494283313115
118,0.4756928892235095,0.29335814092820245
119,0.4754091860503381,0.29325255934777883
120,0.4751515564210376,0.29322962545512277
121,0.4749386162757966,0.29343242918756446
122,0.47494176982356595,0.29345069727105033
123,0.47466758159201866,0.29332228341155603
124,0.4745839356515233,0.29328175897390385
125,0.47443503358527805,0.2933684640413146
126,0.4742327734108748,0.2934302447202966
127,0.4740149141355022,0.2935929116280887
128,0.4737112776029316,0.29376918069284663
129,0.4735683591216272,0.2935161531615392
130,0.4732874614513064,0.2933875019202176
131,0.4730014190237551,0.29315360690140746
132,0.472622349779238,0.2933746457791429
133,0.472361120804688,0.29361803130851805
134,0.4724065071635757,0.29383359084887
135,0.4723047956243011,0.29384237959958664
136,0.47209633894877817,0.29385969948447727
137,0.47192595272347954,0.29392106435276977
138,0.47164421693820324,0.293566997275736
139,0.4712407678549658,0.2934798195875573
140,0.4708229344967469,0.2934441122772015
141,0.4710271387166803,0.29324997390959395
142,0.4710059768452964,0.29325164133573584
143,0.4708040509723221,0.29301126489757656
144,0.470655204174684,0.2929818707692985
145,0.4702166096059408,0.2931303824388922
146,0.47003900121384556,0.2932254312418258
147,0.4697082427945221,0.29336267504579405
148,0.4695831484156695,0.2935199997112365
149,0.4694768771911403,0.29298399729874103
150,0.4692628358569181,0.2930671403782373
151,0.4690041146621086,0.2929705403638607
152,0.46880383917408663,0.2930635270283565
153,0.4687809699237299,0.2928995417095339
154,0.4686756469992835,0.29282348270997655
155,0.4684675265454909,0.29299112970629604
156,0.46828840887414835,0.29304184310253445
157,0.46835733053746104,0.2927538995273263
158,0.4682975998397164,0.2928271729859226
159,0.4681410047653972,0.29286021819497965
