case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_makespan_h,hypervolume_normalized,spacing_normalized
D1,pilot_baseline,20260906,17.471283903811127,48,99,48,1,24308107.12743428,748.8,0.5724407291940399,0.0
D1,pilot_baseline,20260907,17.493051916826516,48,99,48,1,24392500.123279635,748.8,0.4322731310034115,0.0
D1,pilot_baseline,20260908,17.649166534189135,48,99,48,1,24166162.932207126,748.8,0.8081946175682588,0.0
D1,pilot_baseline,20260909,17.30241730576381,48,99,48,1,24269551.27957706,748.8,0.636477804027271,0.0
D1,pilot_baseline,20260910,17.205641442909837,48,99,48,1,24275250.690507688,748.8,0.6270117016185929,0.0
D1,pilot_baseline,20260911,17.47602650290355,48,99,48,1,24367492.607907806,748.8,0.4738078973815084,0.0
D1,pilot_baseline,20260912,17.799322744831443,48,99,48,1,24149701.17086027,748.8,0.8355358148662502,0.0
D1,pilot_baseline,20260913,17.676940768957138,48,99,48,1,24326219.834524017,748.8,0.5423574903651799,0.0
D1,pilot_baseline,20260914,17.978599256835878,48,99,48,1,24371471.82990948,748.8,0.46719884191363265,0.0
D1,pilot_baseline,20260915,18.092023121658713,48,99,48,1,24390876.014984757,748.8,0.43497059844859737,0.0
D1,pilot_baseline,20260916,17.743088075425476,48,99,48,1,24346263.357946824,748.8,0.5090673753584716,0.0
D1,pilot_baseline,20260917,17.86575863370672,48,99,48,1,24363158.151867785,748.8,0.4810069579967508,0.0
D1,pilot_baseline,20260918,17.970645991154015,48,99,48,1,24586536.372433677,748.8,0.11000000000000011,0.0
D1,pilot_baseline,20260919,18.27149786427617,48,99,48,1,24098051.446604807,748.8,0.9213203959630321,0.0
D1,pilot_baseline,20260920,18.390183980111033,48,99,48,1,24157257.244458932,748.8,0.8229859974617685,0.0
D1,pilot_baseline,20260921,17.937373442575336,48,99,48,1,24326792.89763562,748.8,0.5414056947906719,0.0
D1,pilot_baseline,20260922,17.786211306229234,48,99,48,1,24235177.01857393,748.8,0.6935697173563805,0.0
D1,pilot_baseline,20260923,18.378230445086956,48,99,48,1,24203276.648805592,748.8,0.746552766092015,0.0
D1,pilot_baseline,20260924,17.60320109501481,48,99,48,1,24291232.044673268,748.8,0.6004684084603794,0.0
D1,pilot_baseline,20260925,17.933131192810833,48,99,48,2,24062259.326086212,748.8,0.968233504623259,0.0
D1,pilot_baseline,20260926,17.656187686137855,48,99,48,1,24113832.260143217,748.8,0.8951101790011134,0.0
D1,pilot_baseline,20260927,17.50338450120762,48,99,48,1,24237152.329335272,748.8,0.690288940766757,0.0
D1,pilot_baseline,20260928,17.249574228189886,48,99,48,1,24442752.416898537,748.8,0.3488095303861395,0.0
D1,pilot_baseline,20260929,17.685071212705225,48,99,48,2,23924241.401069194,748.8,1.2078366609304605,0.0
D1,pilot_baseline,20260930,17.212444505188614,48,99,48,1,24498185.54204992,748.8,0.2567411314054056,0.0
D1,pilot_baseline,20260931,17.351781220175326,48,99,48,1,24564726.89679797,748.8,0.14622316979072375,0.0
D1,pilot_baseline,20260932,17.188867333810776,48,99,48,1,24324937.74762527,748.8,0.5444868974263826,0.0
D1,pilot_baseline,20260933,17.746087168809026,48,99,48,1,24059505.759533394,748.8,0.9853405948348423,0.0
D1,pilot_baseline,20260934,17.481414983980358,48,99,48,1,24206717.863971893,748.8,0.7408372815321188,0.0
D1,pilot_baseline,20260935,17.399521933868527,48,99,48,1,24195948.021985956,748.8,0.758724819104877,0.0
D2,pilot_baseline,20260906,17.296843394171447,48,99,48,1,24704218.420324273,760.8,0.7387036355890834,0.0
D2,pilot_baseline,20260907,17.471403650008142,48,99,48,1,24616032.761805885,760.8,0.9237943419876021,0.0
D2,pilot_baseline,20260908,17.34709932282567,48,99,48,1,24686864.45519301,760.8,0.7751274455251531,0.0
D2,pilot_baseline,20260909,17.044316526968032,48,99,48,1,24592793.056428097,760.8,0.972571587144434,0.0
D2,pilot_baseline,20260910,16.926687739323825,48,99,48,1,24557724.687627234,760.8,1.0461757225860504,0.0
D2,pilot_baseline,20260911,17.24942264612764,48,99,48,1,24764070.80830984,760.8,0.6130809327821825,0.0
D2,pilot_baseline,20260912,17.360025569796562,48,99,48,1,24604889.614250977,760.8,0.9471824199029103,0.0
D2,pilot_baseline,20260913,16.980959113687277,48,99,48,1,24608140.38411262,760.8,0.9403594591160959,0.0
D2,pilot_baseline,20260914,16.918358898721635,48,99,48,1,24976168.419051606,760.8,0.16791448216883464,0.0
D2,pilot_baseline,20260915,17.296519023831934,48,99,48,1,24696756.627921883,760.8,0.7543650078571097,0.0
D2,pilot_baseline,20260916,16.95009698579088,48,99,48,1,24695198.242587525,760.8,0.7576358644478919,0.0
D2,pilot_baseline,20260917,17.015645344741642,48,99,48,1,24614376.48075878,760.8,0.9272706694784193,0.0
D2,pilot_baseline,20260918,16.872479021083564,48,99,48,1,24543693.77231258,760.8,1.075624865118282,0.0
D2,pilot_baseline,20260919,16.975409126840532,48,99,48,1,24524346.302838773,760.8,1.116232792213189,0.0
D2,pilot_baseline,20260920,17.204686019103974,48,99,48,2,24560974.5971349,760.8,1.0162700994410236,0.0
D2,pilot_baseline,20260921,17.022407786920667,48,99,48,1,24983285.512909207,760.8,0.15297658918555215,0.0
D2,pilot_baseline,20260922,17.103109792806208,48,99,48,1,24674143.508383475,760.8,0.8018271274302744,0.0
