case_id,scenario,runs,successful_runs,success_rate,union_front_size,cost_median_usd,cost_change_pct_vs_baseline,weighted_mean_delivery_time_median_h,delivery_time_change_h_vs_baseline,best_cost_usd,best_weighted_mean_delivery_time_h
D1,pilot_baseline,30,30,1.0,84,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,615.6406286172274
D1,uswc_port_capacity_70pct,30,30,1.0,84,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,615.6406286172274
D1,uswc_port_capacity_65pct,30,30,1.0,86,25374969.485197056,0.07380190848267354,624.3128569149832,0.7254397711957381,24842445.19812098,621.3652811230788
D1,uswc_port_capacity_60pct,30,30,1.0,67,25270692.09115819,-0.3374472668381534,630.8040402921326,7.216623148345207,24842445.19812098,627.3781517710765
D1,la_lb_port_capacity_50pct,30,30,1.0,44,25360202.01474618,0.015561960117316254,645.100446816447,21.513029672659513,24930893.608474642,642.2013784179537
D1,seattle_tacoma_port_capacity_50pct,30,30,1.0,84,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,615.6406286172274
D1,la_lb_departure_delay_72h,30,30,1.0,63,26369223.4713158,3.9949406712942226,683.8121200215753,60.22470287778788,26016061.05393632,680.1974688409873
D1,seattle_tacoma_departure_delay_72h,30,30,1.0,66,26758878.961206913,5.531663950140486,610.9947340712285,-12.592683072558884,26438100.874524277,606.6022720304636
D1,uswc_departure_delay_96h,30,30,1.0,17,30541974.644906603,20.45143629793602,704.5587088989148,80.97129175512737,29756610.416316744,702.4086372904892
D1,uswc_departure_delay_120h,30,30,1.0,21,34510900.500036426,36.10408565569869,730.2083456213442,106.62092847755673,33483711.809694815,729.0373706699734
D1,uswc_departure_delay_168h,30,30,1.0,6,44312938.31130546,74.76136131455758,772.6925729596499,149.10515581586242,43838008.709175274,772.3214864973327
D1,uswc_compound_50pct_delay_120h,30,30,1.0,21,34510900.500036426,36.10408565569869,730.2083456213442,106.62092847755673,33483711.809694815,729.0373706699734
D2,pilot_baseline,30,30,1.0,68,25277711.995491184,0.0,622.7134638938032,0.0,25042488.426821988,614.2157580011346
D2,uswc_port_capacity_70pct,30,30,1.0,83,25277711.995491184,0.0,622.7134638938032,0.0,25042488.426821988,613.2728915036072
D2,uswc_port_capacity_65pct,30,30,1.0,77,25304993.92048434,0.10792877534970824,626.6776220562482,3.96415816244496,25043487.55585404,619.0053947687866
D2,uswc_port_capacity_60pct,30,30,1.0,60,25360420.952405155,0.3272011206106207,633.8198439326042,11.106380038800921,25015859.292842645,627.261240843377
D2,la_lb_port_capacity_50pct,30,30,1.0,50,25706996.53085373,1.6982729110891048,649.211373934162,26.49791004035876,25083981.66200837,645.3196272149385
D2,seattle_tacoma_port_capacity_50pct,30,30,1.0,68,25277711.995491184,0.0,622.7134638938032,0.0,25042488.426821988,614.2157580011346
D2,la_lb_departure_delay_72h,30,30,1.0,38,26706226.33406516,5.651280221994703,683.1121439869523,60.398680093149096,26193186.405517682,678.7627986013782
D2,seattle_tacoma_departure_delay_72h,30,30,1.0,69,25894104.328888837,2.438481510935797,612.3460914957266,-10.367372398076668,25746990.65791774,607.7251530546121
D2,uswc_departure_delay_96h,30,30,1.0,10,30160060.452367637,19.314835368593975,705.1615844330213,82.44812053921805,29329452.25077779,704.4683570418417
D2,uswc_departure_delay_120h,30,30,1.0,10,34148409.775715515,35.092961664436274,733.4176320504728,110.70416815666954,33318171.218447033,731.5874626943183
D2,uswc_departure_delay_168h,30,30,1.0,11,43893533.76077072,73.64520083384154,775.3213755119708,152.60791161816758,43263890.44103574,774.8800182828641
D2,uswc_compound_50pct_delay_120h,30,30,1.0,10,34148409.775715515,35.092961664436274,733.4176320504728,110.70416815666954,33318171.218447033,731.5874626943183
D3,pilot_baseline,30,30,1.0,71,27130204.126386963,0.0,635.1141538966688,0.0,26576332.611434035,628.0642444823245
D3,uswc_port_capacity_70pct,30,30,1.0,68,27134846.075281695,0.01710989299272825,635.1141538966688,0.0,26576332.611434035,630.2180221757708
D3,uswc_port_capacity_65pct,30,30,1.0,73,27169830.154814634,0.14605871833131,640.6469242196288,5.532770322960005,26634379.89320064,635.4372734833311
D3,uswc_port_capacity_60pct,30,30,1.0,54,27198204.69646387,0.2506452578098006,646.4278986475867,11.313744750917976,26673764.66638679,642.511115958239
D3,la_lb_port_capacity_50pct,30,30,1.0,38,27439622.894004077,1.1404955383884197,661.9215932413517,26.80743934468296,26674109.5122458,657.9484447214204
D3,seattle_tacoma_port_capacity_50pct,30,30,1.0,71,27130204.126386963,0.0,635.1141538966688,0.0,26576332.611434035,628.0642444823245
D3,la_lb_departure_delay_72h,30,30,1.0,47,29694346.881550197,9.451247558691733,695.502327724708,60.38817382803927,29152453.65233205,692.9039000051813
D3,seattle_tacoma_departure_delay_72h,30,30,1.0,49,28107689.08380893,3.6029399294908337,626.8285107457829,-8.285643150885903,27836448.613146864,623.228279093574
D3,uswc_departure_delay_96h,30,30,1.0,13,34174099.477317154,25.963296546225646,719.6814294023817,84.56727550571293,32918793.896751024,718.6843838662497
D3,uswc_departure_delay_120h,30,30,1.0,10,39156492.00374442,44.32804051651287,747.8322968813814,112.71814298471259,37938004.828999154,746.1838900110694
D3,uswc_departure_delay_168h,30,30,1.0,8,50264596.62454848,85.27172294903929,790.3101731363716,155.19601923970288,49767168.29819384,789.1023799783801
D3,uswc_compound_50pct_delay_120h,30,30,1.0,10,39156492.00374442,44.32804051651287,747.8322968813814,112.71814298471259,37938004.828999154,746.1838900110694
