solution_id,case_id,scenario,roles,source_seed,total_cost_usd,quantity_weighted_mean_delivery_time_h,makespan_h,la_lb_share_pct,seattle_tacoma_share_pct,ny_nj_share_pct,unclassified_share_pct,minimum_path_share_pct
D1_pilot_baseline_001,D1,pilot_baseline,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_pilot_baseline_025,D1,pilot_baseline,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_pilot_baseline_084,D1,pilot_baseline,min_delivery_time,20260915,26772109.384655178,615.6406286172274,748.8,94.08134429466568,5.918655705334323,0.0,0.0,13.048634813975191
D1_uswc_port_capacity_70pct_001,D1,uswc_port_capacity_70pct,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_uswc_port_capacity_70pct_025,D1,uswc_port_capacity_70pct,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_uswc_port_capacity_70pct_084,D1,uswc_port_capacity_70pct,min_delivery_time,20260915,26772109.384655178,615.6406286172274,748.8,94.08134429466568,5.918655705334323,0.0,0.0,13.048634813975191
D1_uswc_port_capacity_65pct_001,D1,uswc_port_capacity_65pct,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_uswc_port_capacity_65pct_025,D1,uswc_port_capacity_65pct,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_uswc_port_capacity_65pct_086,D1,uswc_port_capacity_65pct,min_delivery_time,20260919,26673135.04864244,621.3652811230788,748.8,87.30583163184654,12.694168368153461,0.0,0.0,11.029537440534344
D1_uswc_port_capacity_60pct_001,D1,uswc_port_capacity_60pct,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_uswc_port_capacity_60pct_037,D1,uswc_port_capacity_60pct,balanced,20260916,25525930.332462247,633.8656688513087,748.8,79.10098537320584,20.89901462679416,0.0,0.0,11.060092808853945
D1_uswc_port_capacity_60pct_067,D1,uswc_port_capacity_60pct,min_delivery_time,20260907,26941123.052318335,627.3781517710765,748.8,80.71052968007415,19.289470319925847,0.0,0.0,11.390576117051749
D1_la_lb_port_capacity_50pct_001,D1,la_lb_port_capacity_50pct,min_cost,20260929,24930893.608474642,655.2349023262012,748.8,63.308832157982984,36.69116784201702,0.0,0.0,11.63999535227967
D1_la_lb_port_capacity_50pct_012,D1,la_lb_port_capacity_50pct,balanced,20260934,25365062.660179533,647.2788762054203,748.8,67.03953369235153,32.96046630764848,0.0,0.0,10.796088245360147
D1_la_lb_port_capacity_50pct_044,D1,la_lb_port_capacity_50pct,min_delivery_time,20260907,26575424.43253104,642.2013784179537,748.8,67.1233503475847,32.876649652415296,0.0,0.0,11.12930077119622
D1_seattle_tacoma_port_capacity_50pct_001,D1,seattle_tacoma_port_capacity_50pct,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_seattle_tacoma_port_capacity_50pct_025,D1,seattle_tacoma_port_capacity_50pct,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_seattle_tacoma_port_capacity_50pct_084,D1,seattle_tacoma_port_capacity_50pct,min_delivery_time,20260915,26772109.384655178,615.6406286172274,748.8,94.08134429466568,5.918655705334323,0.0,0.0,13.048634813975191
D1_la_lb_departure_delay_72h_001,D1,la_lb_departure_delay_72h,min_cost,20260934,26016061.05393632,692.3458457792964,748.8,72.60007984672406,27.399920153275954,0.0,0.0,10.051609962798299
D1_la_lb_departure_delay_72h_043,D1,la_lb_departure_delay_72h,balanced,20260928,26945871.981226664,684.2352137866126,715.2,87.17934388625906,12.82065611374094,0.0,0.0,10.637311457578587
D1_la_lb_departure_delay_72h_063,D1,la_lb_departure_delay_72h,min_delivery_time,20260918,28332149.572455008,680.1974688409873,748.8,90.28992475904921,9.71007524095078,0.0,0.0,13.594605698652861
D1_seattle_tacoma_departure_delay_72h_001,D1,seattle_tacoma_departure_delay_72h,min_cost,20260921,26438100.874524277,636.6625372704883,816.0,85.0214501271053,14.978549872894714,0.0,0.0,12.63369158036407
D1_seattle_tacoma_departure_delay_72h_013,D1,seattle_tacoma_departure_delay_72h,balanced,20260913,26679314.740658864,616.6170463341375,782.4,95.51380861085282,4.486191389147184,0.0,0.0,11.04511740952248
D1_seattle_tacoma_departure_delay_72h_066,D1,seattle_tacoma_departure_delay_72h,min_delivery_time,20260923,27303158.537869222,606.6022720304636,625.6,100.0,0.0,0.0,0.0,11.302147243435153
D1_uswc_departure_delay_96h_001,D1,uswc_departure_delay_96h,min_cost,20260921,29756610.416316744,705.9821186121427,816.0,99.28240748964339,0.7175925103566174,0.0,0.0,11.850314235767259
D1_uswc_departure_delay_96h_012,D1,uswc_departure_delay_96h,balanced,20260921,30093287.223124947,703.2080461918492,726.4,100.0,0.0,0.0,0.0,11.698915298661811
D1_uswc_departure_delay_96h_017,D1,uswc_departure_delay_96h,min_delivery_time,20260907,30658642.65706111,702.4086372904892,726.4,100.0,0.0,0.0,0.0,11.34887400996829
D1_uswc_departure_delay_120h_001,D1,uswc_departure_delay_120h,min_cost,20260919,33483711.809694815,730.5681895973376,816.0,98.70384828764396,1.2961517123560402,0.0,0.0,11.23509959477941
D1_uswc_departure_delay_120h_009,D1,uswc_departure_delay_120h,balanced,20260919,33671884.15443209,729.784704209731,816.0,98.70588927699787,1.2941107230021458,0.0,0.0,12.014928861950162
D1_uswc_departure_delay_120h_021,D1,uswc_departure_delay_120h,min_delivery_time,20260916,34983770.55439072,729.0373706699734,760.0,100.0,0.0,0.0,0.0,10.47334385512646
D1_uswc_departure_delay_168h_001,D1,uswc_departure_delay_168h,min_cost,20260922,43838008.709175274,773.4362101839644,793.6,100.0,0.0,0.0,0.0,12.19696551942532
D1_uswc_departure_delay_168h_002,D1,uswc_departure_delay_168h,balanced,20260922,43839247.676998325,772.4588975384577,793.6,100.0,0.0,0.0,0.0,12.861064447834911
D1_uswc_departure_delay_168h_006,D1,uswc_departure_delay_168h,min_delivery_time,20260907,44134143.63202078,772.3214864973327,793.6,100.0,0.0,0.0,0.0,13.136513377618847
D1_uswc_compound_50pct_delay_120h_001,D1,uswc_compound_50pct_delay_120h,min_cost,20260919,33483711.809694815,730.5681895973376,816.0,98.70384828764396,1.2961517123560402,0.0,0.0,11.23509959477941
D1_uswc_compound_50pct_delay_120h_009,D1,uswc_compound_50pct_delay_120h,balanced,20260919,33671884.15443209,729.784704209731,816.0,98.70588927699787,1.2941107230021458,0.0,0.0,12.014928861950162
D1_uswc_compound_50pct_delay_120h_021,D1,uswc_compound_50pct_delay_120h,min_delivery_time,20260916,34983770.55439072,729.0373706699734,760.0,100.0,0.0,0.0,0.0,10.47334385512646
D2_pilot_baseline_001,D2,pilot_baseline,min_cost,20260929,25042488.426821988,644.2228576954567,760.8,78.62862563252128,21.371374367478737,0.0,0.0,10.101199601450407
D2_pilot_baseline_044,D2,pilot_baseline,balanced,20260913,25610640.09504055,621.4628333228625,727.2,94.55894798647458,5.441052013525429,0.0,0.0,10.902237294344335
