gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_makespan_h,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
0,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,220.717355741915,0.0,179.26971736118708,1077.0737588516988
1,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,3.900326210676682,0.0,185.53191749407696,1307.5924841053677
2,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,10.532729226756928,0.0,129.18506868660847,1174.9191545797853
3,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,4.45000396445778,0.0,96.15600170876856,1136.661547959439
4,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,0.6696681358649949,0.0,69.33698226586588,1106.3039411194156
5,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,0.6696681358649949,0.0,42.13970182674772,1034.7666186627584
6,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,0.0,0.0,27.705551414029546,983.4112480811509
7,0.0,0.0,0.0,5276488.008621652,436.0338095238095,0.0,0.0,0.0,0.0,20.58006681715076,911.0548645530403
8,0.0,0.013333333333333334,0.013333333333333334,5276488.008621652,436.0338095238095,0.0,0.0,0.0,0.0,13.819995802622415,858.2048955837181
9,0.0,0.04,0.04,5276488.008621652,436.0338095238095,0.0,0.0,0.0,0.0,13.318097576065572,842.3359028815745
10,0.0,0.14666666666666667,0.14666666666666667,5276488.008621652,416.07428571428574,0.0,0.0,0.0,0.0,5.130944309199418,866.415858295079
11,0.0,0.17333333333333334,0.17333333333333334,5272499.340191249,416.07428571428574,0.0,0.0,0.0,0.0,3.432979459694268,840.0460433209563
12,0.0,0.29333333333333333,0.29333333333333333,5161544.613274724,416.07428571428574,0.0,0.0,0.0,0.0,1.8609778749097954,816.9418079768293
13,0.0,0.4266666666666667,0.4266666666666667,4977661.542751102,416.07428571428574,0.0,0.0,0.0,0.0,0.9032758995776758,808.7757562182186
14,0.0,0.7066666666666667,0.7066666666666667,4946892.435817279,416.07428571428574,0.0,0.0,0.0030815364900096637,0.0,0.2126324921026559,792.6317231258361
15,0.0,1.0,1.0,4936397.058819045,299.98380952380955,0.0,0.0,0.0,0.0,0.0,810.5982200060914
16,0.0,1.0,1.0,4806632.657944792,299.83142857142855,0.0,0.0,0.0,0.0,0.0,809.2142070565146
17,0.0,1.0,1.0,4794623.227677027,299.83142857142855,0.0,0.0,0.0,0.0,0.0,773.8445965137633
18,0.0,1.0,1.0,4794623.227677027,299.83142857142855,0.0,0.0,0.0,0.0,0.0,726.5952904745417
19,0.0,1.0,1.0,4681240.220398153,299.83142857142855,0.0,0.0,0.0,0.0,0.0,706.4084453081122
20,0.046079999999999996,1.0,1.0,4661367.616231469,295.0325,0.0,0.0,0.0,0.0,0.0,705.837017850983
21,0.046079999999999996,1.0,1.0,4661367.616231469,295.0325,0.0,0.0,0.0,0.0,0.0,712.0727805209084
22,0.046079999999999996,1.0,1.0,4661367.616231469,295.0325,0.0,0.0,0.0,0.0,0.0,720.5691372909644
23,0.046079999999999996,1.0,1.0,4593611.296778746,295.0325,0.0,0.0,0.0,0.0,0.0,720.5482740274045
24,0.046079999999999996,1.0,1.0,4593611.296778746,295.0325,0.0,0.0,0.0,0.0,0.0,722.6591333734651
25,0.08711999999999999,1.0,1.0,4593611.296778746,295.0325,0.0,0.0,0.0,0.0,0.0,738.2610267484398
26,0.08711999999999999,1.0,1.0,4593611.296778746,295.0325,0.0,0.0,0.0,0.0,0.0,746.0135654767136
27,0.08711999999999999,1.0,1.0,4593611.296778746,295.0325,0.0,0.0,0.0,0.0,0.0,760.220131799195
28,0.08711999999999999,1.0,1.0,4593611.296778746,292.77714285714285,0.0,0.0,0.0,0.0,0.0,758.5938801294907
29,0.08711999999999999,1.0,1.0,4593611.296778746,292.77714285714285,0.0,0.0,0.0,0.0,0.0,744.8265157840442
30,0.12672,1.0,1.0,4587013.927012225,292.77714285714285,0.0,0.0,0.0,0.0,0.0,735.9335821112481
31,0.12672,1.0,1.0,4587013.927012225,292.77714285714285,0.0,0.0,0.0,0.0,0.0,717.26008072105
32,0.12672,1.0,1.0,4575664.207855997,292.77714285714285,0.0,0.0,0.0,0.0,0.0,713.8866887835441
33,0.12672,1.0,1.0,4549715.078272479,292.77714285714285,0.0,0.0,0.0,0.0,0.0,707.6783769948231
34,0.12672,1.0,1.0,4549715.078272479,292.77714285714285,0.0,0.0,0.0,0.0,0.0,701.3407368669378
35,0.20232,1.0,1.0,4549715.078272479,292.77714285714285,0.0,0.0,0.0,0.0,0.0,707.2017507219872
36,0.20232,1.0,1.0,4512285.941007022,292.77714285714285,0.0,0.0,0.0,0.0,0.0,716.6947390149102
37,0.20232,1.0,1.0,4512285.941007022,292.77714285714285,0.0,0.0,0.0,0.0,0.0,717.8488568856678
38,0.20232,1.0,1.0,4506466.521186407,289.7991666666667,0.0,0.0,0.0,0.0,0.0,717.1423508288942
39,0.20232,1.0,1.0,4492864.483978938,289.7991666666667,0.0,0.0,0.0,0.0,0.0,722.7215035482542
40,0.29232,1.0,1.0,4492864.483978938,289.7991666666667,0.0,0.0,0.0,0.0,0.0,724.430431557598
41,0.29232,1.0,1.0,4489059.859556911,289.7991666666667,0.0,0.0,0.0,0.0,0.0,728.6662527032557
