gen,spacing_mean,spacing_std
0,0.04798884652038552,0.029142468612227374
1,0.05022564121948232,0.029455857924132623
2,0.04297084500592967,0.029502566277470322
3,0.04146739060554679,0.01956538280809833
4,0.03654130292261073,0.01751597935718383
5,0.032115299369289536,0.020337269168077415
6,0.03465150718165811,0.025411744599242267
7,0.03342086703920448,0.0261466782727555
8,0.03048471007974228,0.02128474917348844
9,0.03057647519566774,0.023480182323569753
10,0.026415467843971467,0.017372512392491074
11,0.02645708043659705,0.017299818135091412
12,0.025179022684088632,0.01663820487769443
13,0.025229259718091795,0.017247528859827978
14,0.023991358374626327,0.01634189150071139
15,0.022880342660395916,0.015044445533836687
16,0.023306995722020395,0.014545091578937536
17,0.02253747142030925,0.01482129646906361
18,0.022386611615908433,0.014798235172222625
19,0.02195883139185561,0.013300084026753572
20,0.021875489521089544,0.01694324300744818
21,0.021888551017148237,0.01595325355476437
22,0.022973768429658557,0.015777551419627393
23,0.022796559995882523,0.016457431518274158
24,0.022987284641473153,0.016962509955159643
25,0.021123862980488562,0.012912235129119695
26,0.02032977898143531,0.011921089841726589
27,0.019889903484062593,0.01155611089928237
28,0.021131566575323953,0.011192598359147335
29,0.021175380104968115,0.012181607010345362
30,0.021035911743516857,0.011801332265852043
31,0.021485856299264628,0.011980865647833067
32,0.020836383625762712,0.011319060348021168
33,0.020682640663316605,0.011719026039305667
34,0.020677903565008017,0.011577627787658534
35,0.019554853308417424,0.011111357192908606
36,0.019973051870438505,0.010291281367081809
37,0.02000139245138415,0.011232875139178762
38,0.020216727525993735,0.012690157947252027
39,0.01983000315985899,0.012976148647581637
40,0.0197905075478738,0.012768436692063824
41,0.021010455839705972,0.01414775660778372
42,0.020848728873846388,0.012990299106471339
43,0.020458728855614616,0.01213451156253912
44,0.019761761531076276,0.011507464206039297
45,0.019143628337745557,0.011094613879251744
46,0.019300419990647476,0.011473705717634295
47,0.019612079906903942,0.011859102230127417
48,0.020201870067243232,0.01212191956504762
49,0.019885952223872502,0.012400284546276886
50,0.020267266137442855,0.011607343412744978
51,0.020672167009170142,0.012594163958033814
52,0.021330384415018524,0.013098165383546483
53,0.020455032869397132,0.012836242592131264
54,0.019640244629918736,0.01201085467983821
55,0.01947867773220276,0.011741235976961088
56,0.019760979453888144,0.012095297683956072
57,0.019094713291937983,0.011450094270923163
58,0.020050191029812817,0.010839510179240737
59,0.02025199243752011,0.01183305636933524
60,0.020740053874180694,0.01212181783690334
61,0.021514413735593034,0.013155355652276582
62,0.02156784951826836,0.013015653215624826
63,0.02171725659492716,0.012466635152709089
64,0.021781143645527603,0.012927102091487574
65,0.02112689545353548,0.01322019093532091
66,0.022799180535463776,0.014107285492038808
67,0.02295830233040178,0.014501806383435685
68,0.021550853385026526,0.01327110547146353
69,0.0206378539394095,0.01257760929328626
70,0.021848395868644947,0.0132766886702926
71,0.02115613703016556,0.0127834158658963
72,0.021530667950803824,0.013021757035143173
73,0.021304808082329697,0.012869557533148312
74,0.02118609498437619,0.012567831855441294
75,0.021217946161899686,0.013310515084380461
76,0.020475889860553428,0.011888956402828265
77,0.020343025839948212,0.011482223226016672
78,0.019975495528220696,0.011650173470156653
79,0.019233387866775805,0.01147328705859598
