solution_id,case_id,scenario,roles,source_seed,total_cost_usd,quantity_weighted_mean_delivery_time_h,makespan_h,la_lb_share_pct,seattle_tacoma_share_pct,ny_nj_share_pct,unclassified_share_pct,minimum_path_share_pct
D1_pilot_baseline_001,D1,pilot_baseline,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_pilot_baseline_025,D1,pilot_baseline,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_pilot_baseline_084,D1,pilot_baseline,min_delivery_time,20260915,26772109.384655178,615.6406286172274,748.8,94.08134429466568,5.918655705334323,0.0,0.0,13.048634813975191
D1_uswc_port_capacity_675pct_001,D1,uswc_port_capacity_675pct,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,57.637670460797814,42.362329539202186,0.0,0.0,10.014158816160009
D1_uswc_port_capacity_675pct_025,D1,uswc_port_capacity_675pct,balanced,20260932,25412552.53586355,636.2742574455212,748.8,77.6820543009454,22.317945699054594,0.0,0.0,12.30206179009615
D1_uswc_port_capacity_675pct_080,D1,uswc_port_capacity_675pct,min_delivery_time,20260926,26737960.914852448,618.5277925788452,748.8,90.82457110193393,9.175428898066064,0.0,0.0,10.297511721039058
D1_uswc_departure_delay_240h_001,D1,uswc_departure_delay_240h,min_cost,20260906,64369302.18211224,843.7197610084932,897.4,99.24365526790709,0.0,0.7563447320929175,0.0,10.45332646768907
D1_uswc_departure_delay_240h_006,D1,uswc_departure_delay_240h,balanced,20260920,64471359.773423806,842.8002400232668,860.8,100.0,0.0,0.0,0.0,15.286970051675219
D1_uswc_departure_delay_240h_009,D1,uswc_departure_delay_240h,min_delivery_time,20260935,64927795.93506184,842.7569994072766,860.8,100.0,0.0,0.0,0.0,14.750795196640846
D1_uswc_departure_delay_336h_001,D1,uswc_departure_delay_336h,min_cost,20260929,82929769.21975762,911.9641609434376,962.0,29.741717901590153,0.0,70.25828209840984,0.0,14.084352699819952
D1_uswc_departure_delay_336h_011,D1,uswc_departure_delay_336h,balanced,20260932,83265967.10606511,910.5340709318754,962.0,27.030599626495935,0.0,72.96940037350407,0.0,13.28314525546602
D1_uswc_departure_delay_336h_020,D1,uswc_departure_delay_336h,min_delivery_time,20260917,83804777.63500151,909.832112505777,962.0,32.86930038475677,0.0,67.13069961524322,0.0,10.20883129429496
D1_uswc_compound_30pct_delay_168h_001,D1,uswc_compound_30pct_delay_168h,min_cost,20260932,59604141.85182337,839.8662851254668,916.8,40.36203394743503,42.018808292697315,17.619157759867665,0.0,14.870813093901253
D1_uswc_compound_30pct_delay_168h_002,D1,uswc_compound_30pct_delay_168h,balanced,20260932,59906289.64973164,839.5700101613573,916.8,40.11620594784143,41.972992537006846,17.910801515151732,0.0,10.979258908654693
D1_uswc_compound_30pct_delay_168h_003,D1,uswc_compound_30pct_delay_168h,min_delivery_time,20260932,59987704.24769427,839.107531905242,916.8,40.39608294796048,41.43443171190597,18.169485340133534,0.0,12.665554061113
D1_uswc_compound_40pct_delay_168h_001,D1,uswc_compound_40pct_delay_168h,min_cost,20260926,55008374.97447692,823.7865285718317,916.8,53.85308507739504,41.86742356765039,4.279491354954565,0.0,10.681637707196215
D1_uswc_compound_40pct_delay_168h_004,D1,uswc_compound_40pct_delay_168h,balanced,20260935,55861080.76689492,823.298058320943,916.8,53.79772840006596,37.6301041107894,8.572167489144636,0.0,12.977633765833238
D1_uswc_compound_40pct_delay_168h_005,D1,uswc_compound_40pct_delay_168h,min_delivery_time,20260907,56728037.0844636,822.9712636347549,916.8,53.748423393351736,39.96358940806427,6.287987198583997,0.0,10.452358638390372
D2_pilot_baseline_001,D2,pilot_baseline,min_cost,20260929,25042488.426821988,644.2228576954567,760.8,78.62862563252128,21.371374367478737,0.0,0.0,10.101199601450407
D2_pilot_baseline_044,D2,pilot_baseline,balanced,20260913,25610640.09504055,621.4628333228625,727.2,94.55894798647458,5.441052013525429,0.0,0.0,10.902237294344335
D2_pilot_baseline_068,D2,pilot_baseline,min_delivery_time,20260931,26640245.027966164,614.2157580011346,760.8,93.61420398171403,6.385796018285978,0.0,0.0,10.790624638359864
D2_uswc_port_capacity_675pct_001,D2,uswc_port_capacity_675pct,min_cost,20260929,25042488.426821988,644.2228576954567,760.8,78.62862563252128,21.371374367478737,0.0,0.0,10.101199601450407
D2_uswc_port_capacity_675pct_033,D2,uswc_port_capacity_675pct,balanced,20260919,25443845.88599505,626.9697445627447,760.8,90.64728995161477,9.352710048385232,0.0,0.0,10.2485797737508
D2_uswc_port_capacity_675pct_083,D2,uswc_port_capacity_675pct,min_delivery_time,20260931,26819497.792406887,615.8909096415874,760.8,90.79135036439888,9.208649635601116,0.0,0.0,12.784234890794608
D2_uswc_departure_delay_240h_001,D2,uswc_departure_delay_240h,min_cost,20260935,63849495.517318726,845.9087653054763,905.4,98.44143703339198,0.0,1.558562966608011,0.0,14.484246934562654
D2_uswc_departure_delay_240h_007,D2,uswc_departure_delay_240h,balanced,20260908,64020726.937959604,845.5879919326582,905.4,98.9764958023016,0.0,1.023504197698391,0.0,10.360512415945845
D2_uswc_departure_delay_240h_009,D2,uswc_departure_delay_240h,min_delivery_time,20260918,64149888.80952354,845.5125965654852,905.4,99.2040325760281,0.0,0.7959674239719065,0.0,13.034634942097373
D2_uswc_departure_delay_336h_001,D2,uswc_departure_delay_336h,min_cost,20260922,85289339.79874822,912.1946894031961,974.0,31.488370111750807,0.0,68.5116298882492,0.0,10.092039806347822
D2_uswc_departure_delay_336h_003,D2,uswc_departure_delay_336h,balanced,20260922,85313961.22481766,911.7811773220607,974.0,32.49320363541917,0.0,67.50679636458082,0.0,21.762477480014265
D2_uswc_departure_delay_336h_005,D2,uswc_departure_delay_336h,min_delivery_time,20260917,85366023.84563693,911.5207534844031,924.1,32.731302055631545,0.0,67.26869794436845,0.0,10.760356868859153
D2_uswc_compound_30pct_delay_168h_001,D2,uswc_compound_30pct_delay_168h,min_cost,20260918,60899943.658607885,844.5784947917086,928.8,40.26855572087459,41.08170943799428,18.649734841131135,0.0,14.060383856698246
D2_uswc_compound_30pct_delay_168h_002,D2,uswc_compound_30pct_delay_168h,balanced,20260933,61374261.19994121,843.1348622949199,928.8,40.17734831072868,44.54822606782985,15.27442562144146,0.0,13.074023871520494
D2_uswc_compound_30pct_delay_168h_004,D2,uswc_compound_30pct_delay_168h,min_delivery_time,20260933,61519049.247251816,842.6801379806152,928.8,40.19406471420184,41.8352242148389,17.970711070959258,0.0,10.072824688468234
D2_uswc_compound_40pct_delay_168h_001,D2,uswc_compound_40pct_delay_168h,min_cost,20260919,55515460.14484352,825.5809340165836,928.8,53.71053350928327,34.681667899246655,11.607798591470063,0.0,12.814316016502868
D2_uswc_compound_40pct_delay_168h_002,D2,uswc_compound_40pct_delay_168h,balanced,20260919,55520883.679926045,824.2219270948585,928.8,53.84960837619926,32.702751704820336,13.447639918980402,0.0,11.317440047138955
D2_uswc_compound_40pct_delay_168h_004,D2,uswc_compound_40pct_delay_168h,min_delivery_time,20260922,55838975.14921448,823.1522450227264,928.8,53.824881305820085,35.29271439484177,10.882404299338152,0.0,10.251406113615543
D3_pilot_baseline_001,D3,pilot_baseline,min_cost,20260932,26576332.611434035,661.8213301229198,772.8,76.241861684741,23.758138315259,0.0,0.0,10.000865628097038
D3_pilot_baseline_036,D3,pilot_baseline,balanced,20260932,27417192.263126392,642.3718076211804,739.2,90.0512024767122,9.948797523287809,0.0,0.0,12.287162171102677
