case_id,scenario,metric,unit,paired_runs,baseline_mean,scenario_mean,mean_paired_difference,mean_paired_difference_pct,median_paired_difference,median_paired_difference_pct,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,paired_cohens_dz,positive_differences,negative_differences,ties,exact_sign_test_p_value,holm_adjusted_p_value
D1,uswc_compound_30pct_delay_168h,total_cost_usd,USD,30,25374353.618004277,60408522.92159445,35034169.30359017,138.07840361624704,34989948.173163205,137.72456600080525,34881572.36494738,35192227.05126494,34880191.17251723,35182118.95806967,79.43744477132857,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_compound_30pct_delay_168h,weighted_mean_delivery_time_h,h,30,623.7584121204919,840.7266303736887,216.96821825319685,34.78911511813355,216.52576455549342,34.70861742107208,215.52066807770933,218.380532594707,214.6019905811716,219.64231205262843,53.17917949800003,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_compound_40pct_delay_168h,total_cost_usd,USD,30,25374353.618004277,56196024.75033336,30821671.13232908,121.47693599089222,30849585.818202093,121.10004295615582,30655279.111676246,30984185.291988514,30690568.99730979,31025350.639404982,65.7213062118054,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_compound_40pct_delay_168h,weighted_mean_delivery_time_h,h,30,623.7584121204919,825.0152033357248,201.25679121523282,32.26969900216964,201.75825446696825,32.335880729434265,199.93182876436214,202.54285705013726,199.51809115394144,203.32165931829138,54.62509091877485,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_departure_delay_240h,total_cost_usd,USD,30,25374353.618004277,64738772.10145397,39364418.4834497,155.1493906605837,39341457.148143604,154.75322698488938,39251075.144618295,39482874.97744791,39190520.55698348,39527081.78889799,121.42436565430741,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_departure_delay_240h,weighted_mean_delivery_time_h,h,30,623.7584121204919,843.5720071516721,219.81359503118014,35.2447978686868,219.89797291610535,35.24510266941239,218.5523061890135,221.04290661726642,218.8831706760414,221.84071433642987,61.151679667066,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_departure_delay_336h,total_cost_usd,USD,30,25374353.618004277,83272558.52769706,57898204.90969278,228.1924874185006,57847712.02315173,228.3450106125061,57809854.218016595,57989873.70691554,57784107.523732364,57979938.273168445,224.7337784345451,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_departure_delay_336h,weighted_mean_delivery_time_h,h,30,623.7584121204919,911.224452941811,287.4660408213191,46.09160966723445,287.29230481894854,46.02131428930064,286.05526005129815,288.8598613808376,285.8256648715555,289.9732386878726,70.98588834203862,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D1,uswc_port_capacity_675pct,total_cost_usd,USD,30,25374353.618004277,25383748.07226169,9394.454257413372,0.036773926582440455,0.0,0.0,0.0,28183.362772240118,0.0,0.0,0.18257418583505536,1,0,29,1.0,1.0
D1,uswc_port_capacity_675pct,weighted_mean_delivery_time_h,h,30,623.7584121204919,623.8822880236559,0.12387590316393471,0.020106563540288478,0.0,0.0,0.0,0.34416659082383677,0.0,0.0,0.22768082404402396,2,0,28,0.5,1.0
D2,uswc_compound_30pct_delay_168h,total_cost_usd,USD,30,25299775.72484737,61902094.15519413,36602318.43034677,144.68609436115156,36546241.67875091,144.41937954099046,36454173.5745068,36752455.19004609,36378005.53445618,36731683.15457682,86.65472660583417,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_compound_30pct_delay_168h,weighted_mean_delivery_time_h,h,30,621.9592710057958,844.005546363935,222.04627535813913,35.70489978320474,221.35986587215547,35.54359755270561,220.89901280615635,223.2415229714334,220.4670006933287,223.23687636199116,67.09119270184917,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_compound_40pct_delay_168h,total_cost_usd,USD,30,25299775.72484737,56844014.08379884,31544238.35895147,124.69188573821957,31508788.662889436,124.72826777562943,31338592.067747083,31758123.368955564,31358898.246996783,31754364.75478384,52.37235695178327,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_compound_40pct_delay_168h,weighted_mean_delivery_time_h,h,30,621.9592710057958,825.5544217334024,203.59515072760655,32.73810011794166,202.592925861668,32.497098384430664,202.47796396279776,204.7684167411286,201.4876522243252,205.188216722397,62.66196032574315,30,0,0,1.862645149230957e-09,5.587935447692871e-08
