case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_makespan_h,hypervolume_normalized,spacing_normalized
D1,pilot_baseline,20260906,7.073620047885925,48,40,48,1,26938707.634903323,748.8,0.1515230583631265,0.0
D1,pilot_baseline,20260907,7.118605125229806,48,40,48,2,26150927.072219223,748.8,0.5789504272191395,0.0
D1,pilot_baseline,20260908,7.183398700784892,48,40,48,2,26076515.954427715,748.8,0.6490599223311341,0.0
D1,pilot_baseline,20260909,7.006723827216774,48,40,48,1,25661945.179135054,748.8,0.8996740505663138,0.0
D1,pilot_baseline,20260910,6.948372999206185,48,40,48,2,26339376.54188504,748.8,0.44959049603928397,0.0
D1,pilot_baseline,20260911,7.028746587224305,48,40,48,2,26141990.495750297,748.8,0.5702972905757591,0.0
D1,pilot_baseline,20260912,7.128596129827201,48,40,48,1,25869762.52007003,897.4,0.284994964227268,0.0
D1,pilot_baseline,20260913,6.990137996617705,48,40,48,2,26260974.998964455,748.8,0.5363590119075348,0.0
D1,pilot_baseline,20260914,6.991699513979256,48,40,48,1,26017216.66227785,748.8,0.6914938120153273,0.0
D1,pilot_baseline,20260915,6.9483089200221,48,40,48,1,26599929.42585052,897.4,0.12824202941134125,0.0
D1,pilot_baseline,20260916,7.015573292970657,48,40,48,1,27009569.10874912,897.4,0.040300187617260834,0.0
D1,pilot_baseline,20260917,7.045703428797424,48,40,48,1,26115823.596577793,748.8,0.6337126050246936,0.0
D1,pilot_baseline,20260918,6.946509088855237,48,40,48,1,26111716.125451684,748.8,0.6361194807787238,0.0
D1,pilot_baseline,20260919,6.955584531184286,48,40,48,2,25852625.250530098,748.8,0.7311315624979446,0.0
D1,pilot_baseline,20260920,7.15068105282262,48,40,48,1,25473831.652404923,748.8,1.0099038909208398,0.0
D1,pilot_baseline,20260921,6.958982158917934,48,40,48,1,26345215.549868867,748.8,0.49929463503913774,0.0
D1,pilot_baseline,20260922,6.941773898899555,48,40,48,2,25942376.636105716,897.4,0.21232500813699362,0.0
D1,pilot_baseline,20260923,7.156966694165021,48,40,48,1,26246224.726578195,897.4,0.20417569502969268,0.0
D1,pilot_baseline,20260924,6.9984073848463595,48,40,48,1,26079312.440493666,748.8,0.6551072329191902,0.0
D1,pilot_baseline,20260925,7.092377641238272,48,40,48,1,25666723.802549712,748.8,0.8968738962910298,0.0
D1,pilot_baseline,20260926,7.113644985947758,48,40,48,2,25357332.714536536,748.8,1.0512230200730657,0.0
D1,pilot_baseline,20260927,6.898320782929659,48,40,48,2,25813465.447321616,748.8,0.8080387037603565,0.0
D1,pilot_baseline,20260928,6.983677249867469,48,40,48,2,25641619.723959178,748.8,0.8514610497261172,0.0
D1,pilot_baseline,20260929,7.10164294205606,48,40,48,2,25132356.198546004,748.8,1.1898407319085056,0.0
D1,pilot_baseline,20260930,6.921889910008758,48,40,48,2,26027670.897189807,897.4,0.24266760622441755,0.0
D1,pilot_baseline,20260931,6.901540405116975,48,40,48,1,26228088.95171465,897.4,0.2080691006504018,0.0
D1,pilot_baseline,20260932,6.935422074981034,48,40,48,1,25910737.276631143,748.8,0.7538880793756055,0.0
D1,pilot_baseline,20260933,7.052390232216567,48,40,48,2,26072580.387107454,897.4,0.23315039362818119,0.0
D1,pilot_baseline,20260934,7.140258926898241,48,40,48,1,25584366.629945662,748.8,0.9451331477441073,0.0
D1,pilot_baseline,20260935,7.029385154135525,48,40,48,2,25600937.483511977,748.8,0.8837408997580207,0.0
D2,pilot_baseline,20260906,7.077130176126957,48,40,48,1,25903610.198285352,760.8,1.0517529558640994,0.0
D2,pilot_baseline,20260907,7.144910041242838,48,40,48,1,26235970.0854789,760.8,0.8702958677232806,0.0
D2,pilot_baseline,20260908,7.060246542096138,48,40,48,2,26219280.08066291,760.8,0.8366095413045084,0.0
D2,pilot_baseline,20260909,7.018382837995887,48,40,48,1,26035076.961541787,760.8,0.9799766165192765,0.0
D2,pilot_baseline,20260910,6.970473812893033,48,40,48,1,25904387.88808043,760.8,1.0513283639349016,0.0
D2,pilot_baseline,20260911,6.990612033288926,48,40,48,1,26786428.696244843,760.8,0.5697643640720524,0.0
D2,pilot_baseline,20260912,7.089524243026972,48,40,48,1,25769201.446450118,760.8,1.125135519971364,0.0
D2,pilot_baseline,20260913,6.8946877499111,48,40,48,1,26103695.501031462,760.8,0.9425132497050335,0.0
D2,pilot_baseline,20260914,6.992111371830106,48,40,48,2,26589875.44979113,760.8,0.5538654595374239,0.0
D2,pilot_baseline,20260915,7.085335930809379,48,40,48,1,26703108.45916728,760.8,0.6152543530444373,0.0
D2,pilot_baseline,20260916,6.939249414950609,48,40,48,2,26424436.8128738,760.8,0.625166080338224,0.0
D2,pilot_baseline,20260917,6.98834236478433,48,40,48,1,26191923.323239233,760.8,0.8943438877341495,0.0
D2,pilot_baseline,20260918,6.972209126222879,48,40,48,1,26204121.79690282,760.8,0.8876839399003484,0.0
D2,pilot_baseline,20260919,6.944548747967929,48,40,48,1,26051012.046590682,760.8,0.9712766071509228,0.0
D2,pilot_baseline,20260920,7.093981370795518,48,40,48,2,26170036.04183119,760.8,0.9021770016845025,0.0
D2,pilot_baseline,20260921,6.856656786985695,48,40,48,2,27491716.559682198,760.8,0.11679103671949326,0.0
D2,pilot_baseline,20260922,7.069383949041367,48,40,48,1,26207324.269364133,760.8,0.8859354998807423,0.0
D2,pilot_baseline,20260923,7.052445102017373,48,40,48,1,26220300.600465223,905.4,0.07989553350824864,0.0
D2,pilot_baseline,20260924,7.017423698212951,48,40,48,2,26750233.916167878,760.8,0.5803874779090187,0.0
