case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_makespan_h,makespan_median_h,makespan_q1_h,makespan_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_makespan_h,nadir_cost_usd,nadir_makespan_h,hypervolume_reference_normalized
D1,pilot_baseline,30,30,1.0,44,2,25132356.198546004,26050125.64214863,25703409.21374269,26208798.481840793,748.8,748.8,748.8,860.25,0.6349160429017087,0.2532494457251302,0.8406054632346771,0.0,7.011148560093716,210.75894168484956,25132356.198546004,748.8,27009569.10874912,962.0,1.1|1.1
D2,pilot_baseline,30,30,1.0,40,1,25613762.222234376,26219790.340564065,26064182.910200875,26627703.20024382,760.8,760.8,760.8,760.8,0.8204871060621233,0.6009904257799135,0.9640857677894504,0.0,7.0102394730784,210.1910364967771,25613762.222234376,760.8,27628540.920926936,905.4,1.1|1.1
D3,pilot_baseline,30,30,1.0,47,2,27342361.043618813,27874821.780396044,27631271.051619794,28298281.151885554,772.8,772.8,772.8,890.4,0.6484095800948282,0.3642447427672053,0.8608772025607241,0.0,7.01248834701255,210.15459644794464,27342361.043618813,772.8,29168416.66063478,950.0,1.1|1.1
