case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_weighted_mean_delivery_time_h,weighted_mean_delivery_time_median_h,weighted_mean_delivery_time_q1_h,weighted_mean_delivery_time_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_weighted_mean_delivery_time_h,nadir_cost_usd,nadir_weighted_mean_delivery_time_h,hypervolume_reference_normalized
D1,la_lb_departure_delay_72h,30,30,1.0,792,63,26016061.05393632,26369223.4713158,26239768.17036696,26483044.863585576,680.1974688409873,683.8121200215753,682.4790752706706,685.4059413426055,0.6869171540742616,0.632130428434915,0.7267026742745524,0.025095030898764803,14.690147111890838,441.4910342772491,26016061.05393632,680.1974688409873,28332149.572455008,695.1468706209789,1.1|1.1
D1,la_lb_port_capacity_50pct,30,30,1.0,616,44,24930893.608474642,25360202.01474618,25111389.34290024,25546158.670299873,642.2013784179537,645.100446816447,644.1473283261626,645.867311826174,0.8017936112991133,0.675249215183374,0.8646931367300372,0.02987517135742035,14.955704497173429,448.2423091069795,24930893.608474642,642.2013784179537,28022464.066027135,655.7776813037453,1.1|1.1
D1,pilot_baseline,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,16.601030173012987,495.95551351830363,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,seattle_tacoma_departure_delay_72h,30,30,1.0,514,66,26438100.874524277,26758878.961206913,26685472.698875666,26797845.012308978,606.6022720304636,610.9947340712285,609.2813481912002,612.9708444877982,0.73822511914657,0.6876617512336947,0.7835267342523964,0.028566897649837567,13.626273846486583,408.1811318518594,26438100.874524277,606.6022720304636,27562720.43278598,636.6625372704883,1.1|1.1
D1,seattle_tacoma_port_capacity_50pct,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.759272354422137,440.0099397501908,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,uswc_compound_50pct_delay_120h,30,30,1.0,154,21,33483711.809694815,34510900.500036426,34288135.56354062,34704004.356988125,729.0373706699734,730.2083456213442,729.880308835966,730.838265304607,0.4987419550305463,0.4020268006519725,0.5726460940504549,0.025569988724591586,13.220152903581038,398.0109526384622,33483711.809694815,729.0373706699734,35373887.91437106,735.1253909049245,1.1|1.1
D1,uswc_departure_delay_120h,30,30,1.0,154,21,33483711.809694815,34510900.500036426,34288135.56354062,34704004.356988125,729.0373706699734,730.2083456213442,729.880308835966,730.838265304607,0.4987419550305463,0.4020268006519725,0.5726460940504549,0.025569988724591586,13.226039458997548,397.4471608111635,33483711.809694815,729.0373706699734,35373887.91437106,735.1253909049245,1.1|1.1
D1,uswc_departure_delay_168h,30,30,1.0,144,6,43838008.709175274,44312938.31130546,44152569.202859454,44450757.87052335,772.3214864973327,772.6925729596499,772.3711835516,773.432648810957,0.6748375515938967,0.40217350031943533,0.7805100059916714,0.031378772508253654,12.892136317444965,386.93968962086365,43838008.709175274,772.3214864973327,44879396.720922016,775.9495061960808,1.1|1.1
D1,uswc_departure_delay_96h,30,30,1.0,254,17,29756610.416316744,30541974.644906603,30278646.386224195,30715007.40620217,702.4086372904892,704.5587088989148,702.962242521755,705.7326041483119,0.5944027734472547,0.44592172582106315,0.7026702473455354,0.0264175024669022,13.345671739894897,401.5546692307107,29756610.416316744,702.4086372904892,31621973.264872987,711.7124191189288,1.1|1.1
D1,uswc_port_capacity_60pct,30,30,1.0,933,67,24842445.19812098,25270692.09115819,25190496.538867008,25459449.760831572,627.3781517710765,630.8040402921326,629.9980414911253,631.2334384240017,0.8874579955981365,0.857630079099865,0.9360299163757999,0.01411092829026198,14.717001629760489,440.15723638562486,24842445.19812098,627.3781517710765,27713769.99792373,660.4667559181308,1.1|1.1
