case_id,scenario,seed,point_id,total_cost_usd,makespan_h
D1,pilot_baseline,20260906,1,24308107.12743428,748.8
D1,pilot_baseline,20260907,1,24392500.123279635,748.8
D1,pilot_baseline,20260908,1,24166162.932207126,748.8
D1,pilot_baseline,20260909,1,24269551.27957706,748.8
D1,pilot_baseline,20260910,1,24275250.690507688,748.8
D1,pilot_baseline,20260911,1,24367492.607907806,748.8
D1,pilot_baseline,20260912,1,24149701.17086027,748.8
D1,pilot_baseline,20260913,1,24326219.834524017,748.8
D1,pilot_baseline,20260914,1,24371471.82990948,748.8
D1,pilot_baseline,20260915,1,24390876.014984757,748.8
D2,pilot_baseline,20260906,1,24704218.420324273,760.8
D2,pilot_baseline,20260907,1,24616032.761805885,760.8
D2,pilot_baseline,20260908,1,24686864.45519301,760.8
D2,pilot_baseline,20260909,1,24592793.056428097,760.8
D2,pilot_baseline,20260910,1,24557724.687627234,760.8
D2,pilot_baseline,20260911,1,24764070.80830984,760.8
D2,pilot_baseline,20260912,1,24604889.614250977,760.8
D2,pilot_baseline,20260913,1,24608140.38411262,760.8
D2,pilot_baseline,20260914,1,24976168.419051606,760.8
D2,pilot_baseline,20260915,1,24696756.627921883,760.8
D3,pilot_baseline,20260906,1,26469059.44543016,772.8
D3,pilot_baseline,20260907,1,26609174.919585202,772.8
D3,pilot_baseline,20260908,1,26079297.006371193,772.8
D3,pilot_baseline,20260909,1,26320263.66742021,772.8
D3,pilot_baseline,20260910,1,26307678.553385116,772.8
D3,pilot_baseline,20260911,1,26176166.917602986,772.8
D3,pilot_baseline,20260912,1,26122556.59789281,772.8
D3,pilot_baseline,20260913,1,26015253.061590463,772.8
D3,pilot_baseline,20260914,1,26598373.29253533,772.8
D3,pilot_baseline,20260915,1,26076396.32178736,772.8
