case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_weighted_mean_delivery_time_h,hypervolume_normalized,spacing_normalized
D1,pilot_baseline,20260906,14.53444363269955,48,99,48,35,24842445.19812098,631.2515582168876,0.6918067077927461,0.013284880446067971
D1,pilot_baseline,20260907,14.01878873910755,48,99,48,29,25515584.528721776,620.8929751749603,0.6681496653083172,0.015703789594426993
D1,pilot_baseline,20260908,14.94417516561225,48,99,48,25,25569653.57766146,629.0580670168874,0.5423603565879856,0.020647798916455663
D1,pilot_baseline,20260909,14.29199521522969,48,99,48,23,25186500.8418719,630.5950551057432,0.605392476857209,0.0178656953062849
D1,pilot_baseline,20260910,14.38255433831364,48,99,48,46,25543194.307037503,620.5607815634917,0.670442986952875,0.014760146627645951
D1,pilot_baseline,20260911,14.561233872082084,48,99,48,41,25452940.511781923,624.39263151076,0.6496964045503757,0.022949972723675993
D1,pilot_baseline,20260912,14.18905843468383,48,99,48,36,25232421.79304781,626.7443542432873,0.7135347852952864,0.02463133266366375
D1,pilot_baseline,20260913,14.247280458919704,48,99,48,15,25677113.651315615,628.5960554010862,0.5078499246600846,0.026101914705090268
D1,pilot_baseline,20260914,14.424916706979275,48,99,48,25,25641665.444374107,620.4554428150458,0.6074555339971779,0.02024150389133097
D1,pilot_baseline,20260915,14.538883917033672,48,99,48,32,25546508.438125897,615.6406286172274,0.6841124041354416,0.013056048976708394
D1,pilot_baseline,20260916,14.584478323813528,48,99,48,30,25224257.32314798,625.1349055846833,0.712745443926939,0.015409359065075876
D1,pilot_baseline,20260917,14.025177690200508,48,99,48,32,25323906.030142374,623.1969666843478,0.6881167464856671,0.016307472926833117
D1,pilot_baseline,20260918,13.727194475010037,48,99,48,42,25439066.657839645,620.2759784168749,0.6863485553813675,0.025443475723399847
D1,pilot_baseline,20260919,14.40705603081733,48,99,48,38,25535165.286814276,620.748467188563,0.6824172306399005,0.01741378481384894
D1,pilot_baseline,20260920,14.174872822128236,48,99,48,34,25320529.721365545,620.4134857169181,0.6969064141937962,0.022088387356515585
D1,pilot_baseline,20260921,13.879628586117178,48,99,48,30,25593553.10810194,621.2529400389718,0.6468132699354632,0.016842363652852826
D1,pilot_baseline,20260922,14.463201243896037,48,99,48,42,25234968.73262493,625.1420091598114,0.6916269987937247,0.018802337919765426
D1,pilot_baseline,20260923,14.868319340981543,48,99,48,40,25183901.81765151,627.507329158215,0.6959644431222066,0.014491680745556661
D1,pilot_baseline,20260924,14.400018001440912,48,99,48,33,25394621.600913357,622.4143702737733,0.6844285483748888,0.014872794830908129
D1,pilot_baseline,20260925,14.483566199894994,48,99,48,35,25475960.521740958,619.9291129020464,0.6955975198008606,0.010939512296924001
D1,pilot_baseline,20260926,14.946443958673626,48,99,48,38,25366926.301028013,617.7039590188061,0.733910766934022,0.01585048465426848
D1,pilot_baseline,20260927,14.389245057012886,48,99,48,30,25328678.692612767,623.8893318601287,0.714035743032417,0.015280490294954362
D1,pilot_baseline,20260928,13.983919615857303,48,99,48,28,25577762.70665097,623.2855024274461,0.6094672952182266,0.009032441689536616
D1,pilot_baseline,20260929,14.138292614836246,48,99,48,33,25191742.798955087,628.873470107427,0.6810868331648335,0.018464443989459338
D1,pilot_baseline,20260930,14.641050196252763,48,99,48,31,25564523.014464915,620.6624744076898,0.6233975115546566,0.03812139190057035
D1,pilot_baseline,20260931,14.40702251298353,48,99,48,30,25217481.649182767,626.4226177767099,0.7091571973892868,0.011395697205112212
D1,pilot_baseline,20260932,14.429315112065524,48,99,48,30,25221481.169953357,624.4256273744387,0.7376166707728861,0.027589239828100444
D1,pilot_baseline,20260933,14.231569286901504,48,99,48,44,25177392.60003796,625.6500334808647,0.7201910249004039,0.014644497571547892
D1,pilot_baseline,20260934,13.46423006709665,48,99,48,40,25345585.86754619,626.3282514198103,0.6598633860992321,0.009344486052570405
D1,pilot_baseline,20260935,14.801238322630525,48,99,48,47,25305074.64729478,621.3079809518541,0.7276701143736397,0.014334739015442303
D2,pilot_baseline,20260906,13.860807660035789,48,99,48,30,25278806.236593403,621.6229447704113,0.7658095406161282,0.010944870392466438
D2,pilot_baseline,20260907,13.77680336497724,48,99,48,24,25123601.95313961,623.3949797234089,0.7790984903311111,0.018952893324358948
D2,pilot_baseline,20260908,13.792642965447158,48,99,48,29,25276617.754388966,626.1416425016846,0.6773343395189207,0.014420432244457982
D2,pilot_baseline,20260909,14.240328393410891,48,99,48,26,25222033.63080329,623.0041655196293,0.746747662609876,0.03218845441682756
D2,pilot_baseline,20260910,14.380695438943803,48,99,48,24,25220434.03676876,621.8956441583435,0.7013106067807925,0.025068663732823012
D2,pilot_baseline,20260911,13.881966582033783,48,99,48,24,25494817.407277174,619.7038403487876,0.7264237123073116,0.014824145451284122
D2,pilot_baseline,20260912,13.474329522345215,48,99,48,30,25360262.129742343,619.875972887289,0.7678980692304416,0.02777554415026475
D2,pilot_baseline,20260913,13.812224810011685,48,99,48,20,25391934.626830075,617.0197076589014,0.8351679875294392,0.03325752100510318
D2,pilot_baseline,20260914,14.156420615967363,48,99,48,26,25332476.476330154,622.6667719625208,0.6894782643889622,0.03160809352545589
D2,pilot_baseline,20260915,14.250001083128154,48,99,48,24,25163166.756595816,625.7478888226259,0.6758090490480027,0.020357688163733845
D2,pilot_baseline,20260916,13.846353837288916,48,99,48,19,25266711.35950584,625.3024627056179,0.7246869150783406,0.017340129769742127
D2,pilot_baseline,20260917,14.117916067130864,48,99,48,26,25373371.706048667,620.5485701489476,0.7552714226985898,0.018322693871811176
D2,pilot_baseline,20260918,14.289748342707753,48,99,48,27,25146315.907751385,624.7709068181726,0.7321398595094118,0.018377603583783545
D2,pilot_baseline,20260919,13.924505610950291,48,99,48,44,25193293.341905214,619.0224339165679,0.8796264179529586,0.014205383882147248
D2,pilot_baseline,20260920,14.588496342301369,48,99,48,29,25153932.23040417,623.6831714819521,0.7389463801536376,0.018921336662626187
D2,pilot_baseline,20260921,13.632636833935976,48,99,48,23,25635637.652448915,615.5094569568153,0.7386974361811056,0.01508717120696937
D2,pilot_baseline,20260922,13.538201574236155,48,99,48,29,25162484.532220487,622.9533985700633,0.802246055637739,0.02209429840426433
D2,pilot_baseline,20260923,13.647105932701379,48,99,48,27,25046006.42259322,625.7831359173924,0.7475790743702713,0.027210842629339888
D2,pilot_baseline,20260924,14.295888877939433,48,99,48,15,25428893.801923327,623.9093610468125,0.6591836768997392,0.02422097455935582
D2,pilot_baseline,20260925,13.812498949933797,48,99,48,25,25206519.600066766,620.6866913464276,0.8071352123994894,0.02798567850527534
D2,pilot_baseline,20260926,13.567366596776992,48,99,48,27,25308508.040359497,622.5642416460266,0.726778246605703,0.03817701282415363
D2,pilot_baseline,20260927,13.656518755014986,48,99,48,25,25315951.693776637,620.9217478133452,0.7964759882341637,0.020901329736101946
D2,pilot_baseline,20260928,14.053536489140242,48,99,48,10,25531649.809478123,623.1456253035512,0.6426706585146233,0.024806041562340737
D2,pilot_baseline,20260929,14.171350474003702,48,99,48,24,25042488.426821988,626.0001895462509,0.7517743948605696,0.01403366961075909
D2,pilot_baseline,20260930,13.239509314764291,48,99,48,39,25332159.27667016,618.1382253883559,0.8510716195517153,0.007320675951703656
D2,pilot_baseline,20260931,13.015437707770616,48,99,48,17,25724809.667285755,614.2157580011346,0.6800772451492144,0.03685360806195132
D2,pilot_baseline,20260932,14.482534304261208,48,99,48,17,25559731.174305983,615.724201528769,0.7644126893381895,0.016895996913683736
D2,pilot_baseline,20260933,14.065444536041468,48,99,48,26,25101518.18841451,622.7601558250858,0.7956128776108652,0.03451880525412058
D2,pilot_baseline,20260934,13.370507548097521,48,99,48,25,25451694.82196437,623.237525470693,0.6443240323762727,0.026357128340719696
D2,pilot_baseline,20260935,14.568790569901466,48,99,48,16,25147443.083006445,628.8273123882916,0.6638896586251257,0.03190088991814701
D3,pilot_baseline,20260906,13.579100200906396,48,99,48,40,27071530.936532266,634.0004427842618,0.7190654304172489,0.014677737994095807
D3,pilot_baseline,20260907,13.782642239239067,48,99,48,27,27047603.17876105,631.9443474162598,0.7323463116619273,0.029458592095900543
D3,pilot_baseline,20260908,13.778003929182887,48,99,48,42,27095631.001549467,637.5351500430855,0.6547044015065094,0.015431870047978202
D3,pilot_baseline,20260909,14.314082715194672,48,99,48,20,26984195.84286157,643.5792495822841,0.5754993399562587,0.017373237667552454
D3,pilot_baseline,20260910,13.230737310368568,48,99,48,18,27186616.550436966,635.0571202004917,0.6430898196840488,0.040525645228828185
D3,pilot_baseline,20260911,14.31513434369117,48,99,48,29,27127061.029575955,638.3399976412487,0.6566764457334773,0.010864881054848752
D3,pilot_baseline,20260912,13.911448849830776,48,99,48,24,27269462.53575689,642.7831543312383,0.4897862709394186,0.01452166130351964
D3,pilot_baseline,20260913,14.515911163762212,48,99,48,27,26961270.68955315,638.1356532160847,0.6908197253667889,0.01319197454915003
D3,pilot_baseline,20260914,13.65461725089699,48,99,48,23,27355175.80655106,628.0642444823245,0.6773545487108428,0.02740477951509293
D3,pilot_baseline,20260915,13.804141660220921,48,99,48,44,26794856.09352255,636.4909180163291,0.7441969298291531,0.01592763728978531
D3,pilot_baseline,20260916,13.85045474814251,48,99,48,31,27114303.80562875,630.2959309602178,0.7327290176020944,0.02367784684183605
D3,pilot_baseline,20260917,14.18373110005632,48,99,48,25,27213328.946984466,633.7753177454358,0.6541801057248235,0.02428569547847486
D3,pilot_baseline,20260918,13.88600958418101,48,99,48,15,27695739.8416294,628.8034578149013,0.5660684608520784,0.03383128239314104
D3,pilot_baseline,20260919,14.825446600094438,48,99,48,23,27136344.927365422,633.321713783038,0.6839795111370742,0.03427137485574048
D3,pilot_baseline,20260920,13.77180650876835,48,99,48,24,27429030.678373825,634.7403762179389,0.5705699684380953,0.028043870703253083
D3,pilot_baseline,20260921,13.573151860851794,48,99,48,24,27021356.142961245,640.7407144702529,0.6238448812333311,0.01661622654070391
D3,pilot_baseline,20260922,14.350554950069636,48,99,48,19,27189745.143815156,637.8442313748645,0.638989565935034,0.023011988795746723
D3,pilot_baseline,20260923,14.362955731805414,48,99,48,29,26634379.89320064,648.8499398195116,0.5518597732469611,0.02044256990970449
D3,pilot_baseline,20260924,14.189490295015275,48,99,48,31,27050415.586142417,636.8848213956603,0.6648261182657449,0.011878328290139455
D3,pilot_baseline,20260925,14.279706893023103,48,99,48,41,27320521.921464473,634.1390482925609,0.6017772460459863,0.014468991181725585
D3,pilot_baseline,20260926,13.508818653412163,48,99,48,32,27061954.528446827,631.9916426238939,0.7373988329434901,0.023902833368005645
D3,pilot_baseline,20260927,14.37397176772356,48,99,48,20,27178589.796320513,640.0529789154351,0.5962522452944234,0.014375424443372893
D3,pilot_baseline,20260928,14.568870215211064,48,99,48,25,26995839.544919126,635.1711875928459,0.6881641427582091,0.03079676380727779
D3,pilot_baseline,20260929,14.030897583812475,48,99,48,24,27184984.250662763,631.591347568281,0.7119232832101771,0.024707159622060725
D3,pilot_baseline,20260930,14.09455072786659,48,99,48,20,27276305.111748274,634.7407329723009,0.6508701268602513,0.028745350026374697
D3,pilot_baseline,20260931,13.9957932299003,48,99,48,22,27489414.99771961,630.7282836436683,0.6295020093663953,0.019435961466071804
