solution_id,total_cost_usd,makespan_h,max_lead_time_h,total_tardiness_feu_h,route_allocations
1,27538620.9178682,890.4,890.4,15910.685862429771,118
2,28076361.918632217,772.8,772.8,20172.876890589698,120
